key,trajectory,mode,label,selected_csv,samples,duration_s,xy_rmse_m,xy_mae_m,xy_error_std_m,z_rmse_m,z_mae_m,z_error_std_m,position_rmse_m,position_mae_m,position_error_std_m,max_position_error_m,final_position_error_before_landing_m,max_speed_mps
circle_baseline,circle,baseline,circle baseline,logs/offboard_trajectory_circle_baseline_20260629_235707.csv,771,39.999968,0.2281003969075206,0.19420391622590932,0.11964376286245937,0.19047712581895065,0.06624076749675746,0.17858806281968814,0.29717221695444,0.22248376074282028,0.19700838239868948,1.632124444847964,0.13318829096201187,1.098177290459201
circle_feedforward,circle,feedforward,circle feedforward,logs/offboard_trajectory_circle_feedforward_20260630_003510.csv,772,39.950033,0.1559460382835017,0.06170621601094994,0.14321839882476473,0.19707481622862555,0.06697899363989636,0.18534372825249104,0.2513118581521093,0.10015615279619687,0.23049163781996684,1.6924139607545636,0.02000094797604929,1.1328392288205136
square_baseline,square,baseline,square baseline,logs/offboard_trajectory_square_baseline_20260630_120601.csv,771,39.95013,0.24031802536860902,0.19427375320260376,0.14145834062946314,0.20460800178982808,0.07006613604409857,0.19223727780083696,0.3156219062636397,0.2241341920412627,0.22221847734044098,1.8295953897056836,0.1478100800522414,1.0977039504715524
square_smooth,square,smooth,square smooth,logs/offboard_trajectory_square_smooth_20260630_120804.csv,767,39.95014,0.19282681547240393,0.08731999161604652,0.17192265653311112,0.19995891683423941,0.06910117162972619,0.18763953874629247,0.2777872372639729,0.12169666869995414,0.2497111731863122,1.8015447897052725,0.0675062684533259,1.1050515197251354
figure8_baseline,figure8,baseline,figure8 baseline,logs/offboard_trajectory_figure8_baseline_20260630_115423.csv,800,39.949938,0.2207825085377005,0.20878372130666903,0.07179327122745519,0.18708834518590592,0.06433775446250001,0.1756778365506695,0.28939067880738745,0.24643359555081765,0.15171502221104047,1.3343293391665156,0.2824660659075871,1.0559644570153508
figure8_feedforward,figure8,feedforward,figure8 feedforward,logs/offboard_trajectory_figure8_feedforward_20260630_120214.csv,778,39.999876,0.06110180732558506,0.05249979134616355,0.031260242594423504,0.37895623829812897,0.12152331069652955,0.35894277469037184,0.3838505717118593,0.15715956764191114,0.3502029864266277,2.007747673702714,0.016807403153624695,1.1865495505338999
figure8_planar_ff_g0p5,figure8,planar_ff_g0p5,figure8 planar_ff g=0.5,logs/offboard_trajectory_figure8_planar_ff_g0p5_20260630_130443.csv,776,39.950151,0.1478692901536933,0.12267742758693634,0.08255650023595432,0.19991126416982338,0.06970373399484536,0.18736569325560307,0.2486560687225109,0.16932110869310193,0.18209943070606457,1.2287518678148375,0.18560712161845738,0.7353876841261918
figure8_planar_ff_g0p8,figure8,planar_ff_g0p8,figure8 planar_ff g=0.8,logs/offboard_trajectory_figure8_planar_ff_g0p8_20260630_130300.csv,780,40.000129,0.07703413377004649,0.06624350627331134,0.03931991406805435,0.19900897096112655,0.07300223992307693,0.18513574341336686,0.21339828558052643,0.12187162600010941,0.1751745845286849,1.411777831730933,0.06836644252411822,1.0735641087756271
figure8_planar_ff_g1,figure8,planar_ff_g1,figure8 planar_ff g=1.0,logs/offboard_trajectory_figure8_planar_ff_g1_20260630_130606.csv,749,40.00033,0.09027713026301047,0.0629784494505461,0.06468133543248449,0.20861539353844963,0.07402909644859812,0.19503865078544394,0.22731111426792744,0.11793624485818018,0.1943228880458453,1.2557164046992375,0.10686127896607273,0.7309877101016129
